"국가별",1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080
"아시아",,,,,,,,,,,,,,,,,,,,,,,
"한국",4.65,4.00,2.92,2.23,1.57,1.68,1.50,1.21,1.17,1.23,1.11,1.08,1.09,1.18,1.25,1.32,1.39,1.44,1.48,1.52,1.56,1.58,1.61
"중국",6.30,4.85,3.01,2.52,2.73,1.83,1.62,1.61,1.62,1.64,1.69,1.70,1.72,1.73,1.73,1.74,1.75,1.75,1.76,1.76,1.76,1.76,1.77
"인도",5.72,5.41,4.97,4.68,4.27,3.83,3.48,3.14,2.80,2.40,2.24,2.14,2.05,1.98,1.92,1.86,1.82,1.79,1.76,1.74,1.73,1.72,1.71
"인도네시아",5.57,5.30,4.73,4.11,3.40,2.90,2.55,2.53,2.50,2.45,2.32,2.22,2.14,2.07,2.00,1.95,1.91,1.88,1.85,1.83,1.82,1.81,1.80
"일본",2.04,2.13,1.83,1.76,1.65,1.48,1.37,1.30,1.34,1.41,1.37,1.37,1.40,1.45,1.49,1.52,1.55,1.57,1.59,1.60,1.62,1.63,1.64
"사우디아라비아",7.26,7.30,7.28,7.02,6.22,5.55,4.40,3.65,3.23,2.73,2.34,2.17,2.04,1.92,1.83,1.75,1.70,1.67,1.65,1.64,1.64,1.65,1.65
"터키",5.80,5.39,4.69,4.11,3.39,2.90,2.65,2.37,2.20,2.12,2.08,1.99,1.92,1.87,1.82,1.78,1.76,1.74,1.73,1.72,1.72,1.72,1.72
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,
"캐나다",2.61,1.98,1.73,1.63,1.62,1.69,1.56,1.52,1.64,1.60,1.53,1.48,1.48,1.50,1.52,1.55,1.57,1.59,1.61,1.63,1.65,1.66,1.67
"멕시코",6.75,6.32,5.33,4.37,3.75,3.23,2.85,2.61,2.40,2.29,2.14,2.03,1.93,1.85,1.80,1.76,1.74,1.72,1.71,1.71,1.71,1.72,1.72
"미국",2.54,2.03,1.77,1.80,1.91,2.03,2.00,2.04,2.06,1.88,1.78,1.78,1.79,1.80,1.80,1.80,1.81,1.81,1.81,1.81,1.82,1.82,1.82
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,
"아르헨티나",3.05,3.15,3.40,3.15,3.05,2.91,2.63,2.48,2.37,2.33,2.27,2.20,2.14,2.08,2.02,1.97,1.93,1.90,1.87,1.85,1.83,1.82,1.81
"브라질",5.34,4.63,4.24,3.80,3.14,2.72,2.47,2.13,1.86,1.77,1.74,1.67,1.61,1.58,1.56,1.56,1.57,1.58,1.59,1.61,1.62,1.64,1.65
"유럽",,,,,,,,,,,,,,,,,,,,,,,
"프랑스",2.65,2.31,1.86,1.86,1.80,1.71,1.76,1.88,1.98,1.98,1.85,1.85,1.84,1.84,1.84,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
"독일",2.36,1.71,1.51,1.46,1.43,1.30,1.35,1.35,1.36,1.43,1.59,1.61,1.63,1.65,1.67,1.68,1.69,1.70,1.71,1.72,1.72,1.73,1.73
"이탈리아",2.50,2.32,1.89,1.52,1.35,1.27,1.22,1.31,1.44,1.42,1.33,1.30,1.33,1.38,1.42,1.46,1.49,1.51,1.53,1.55,1.57,1.58,1.60
"러시아",2.02,2.03,1.94,2.04,2.12,1.55,1.25,1.30,1.46,1.70,1.82,1.82,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.84,1.84,1.84,1.84
"영국",2.57,2.01,1.73,1.78,1.84,1.78,1.74,1.66,1.86,1.87,1.75,1.75,1.76,1.76,1.77,1.77,1.77,1.77,1.77,1.78,1.78,1.78,1.78
"아프리카",,,,,,,,,,,,,,,,,,,,,,,
"남아프리카공화국",5.80,5.50,5.05,4.90,4.40,3.51,2.88,2.61,2.63,2.55,2.41,2.31,2.22,2.14,2.07,2.00,1.96,1.91,1.88,1.85,1.83,1.81,1.80
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아",2.87,2.54,1.99,1.91,1.86,1.86,1.79,1.77,1.95,1.89,1.83,1.78,1.76,1.75,1.73,1.72,1.72,1.72,1.72,1.72,1.72,1.73,1.73
